selection_rank,model_name,dataset,pr_auc,roc_auc,brier_score,recall,precision,specificity,f1,balanced_accuracy,mcc,review_rate,business_cost,false_negative,false_positive,true_positive,true_negative
1,xgboost_hyperopt_tuned_skew_treated,validation,0.2305349387114432,0.7521310607044004,0.2051701409281741,0.7196928140427866,0.16891978885026393,0.6480370774263904,0.2736183524504692,0.6838649457345884,0.21669779750092838,0.38521053414670436,5782500.0,511,6455,1312,11885
2,xgboost_hyperopt_tuned,validation,0.2302672234533928,0.7520522034275474,0.20515702264213642,0.7191442676906199,0.16953316953316952,0.6498364231188659,0.27438258685642525,0.6844903454047429,0.2176141194226716,0.38352427714129844,5771000.0,512,6422,1311,11918
3,xgboost_weighted_baseline,validation,0.22625096332069364,0.7511864483328559,0.2020257960762295,0.7158529895776193,0.17092337917485265,0.6548527808069793,0.27595686191583846,0.6853528851922993,0.2191679034581507,0.3786638893021872,5755000.0,518,6330,1305,12010
4,random_forest_random_search_tuned,validation,0.22472757117769232,0.7507740964089655,0.1974000199323963,0.7070762479429512,0.17492197041661012,0.6684841875681571,0.2804612706701479,0.6877802177555541,0.22364818732366532,0.3654714080245995,5710000.0,534,6080,1289,12260
5,random_forest_weighted_baseline,validation,0.22382174182883843,0.7458023342830703,0.1946383960405726,0.6845858475041141,0.1755521170347447,0.6804252998909488,0.2794446932377967,0.6825055736975314,0.21909025793626144,0.3525765015126717,5805500.0,575,5861,1248,12479
6,logistic_regression_train_only_baseline,validation,0.22099378224605765,0.7435836527205087,0.20844811243210648,0.6851343938562808,0.1727285299405338,0.6738276990185387,0.27590015462778883,0.6794810464374097,0.21463945645757418,0.3586271884144225,5861000.0,574,5982,1249,12358
