selection_rank,model_name,dataset,pr_auc,roc_auc,brier_score,recall,precision,f1,balanced_accuracy,mcc,review_rate,business_cost,false_negative,false_positive,true_positive,true_negative
1,xgboost_weighted,validation,0.2291966328237051,0.7509693926688605,0.20414443364106466,0.7218869994514536,0.17066528336143172,0.27606461086637296,0.6865978072502634,0.2202189177745506,0.38243316966721225,5732500.0,507,6395,1316,11945
2,random_forest_balanced,validation,0.22447965052489702,0.7443085474528486,0.19848573453323012,0.6823916620954471,0.17328318707340856,0.2763830259942235,0.6793910327925436,0.21487579464305925,0.3560482071120369,5862500.0,579,5935,1244,12405
3,logistic_regression_balanced,validation,0.2196745107012779,0.7443902611188311,0.20838593733423152,0.6823916620954471,0.17085565169619557,0.273286467486819,0.6766102258132634,0.21088790794697393,0.3611069781282547,5913500.0,579,6037,1244,12303
