mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
35.15532732009888,0.276312750187971,0.4741520881652832,0.026364215795517263,True,12,0.75,113,50,674,"{'model__bootstrap': True, 'model__max_depth': 12, 'model__max_features': 0.75, 'model__min_samples_leaf': 113, 'model__min_samples_split': 50, 'model__n_estimators': 674}",0.22128258515039062,0.20767435582862157,0.2149777034883856,0.2146448814891326,0.0055605188115770785,1
11.456482330958048,0.7000631816400865,0.3225427468617757,0.06286208918168244,True,8,0.5,112,25,330,"{'model__bootstrap': True, 'model__max_depth': 8, 'model__max_features': 0.5, 'model__min_samples_leaf': 112, 'model__min_samples_split': 25, 'model__n_estimators': 330}",0.22159883640631636,0.20715750368471533,0.2148934249189474,0.214549921669993,0.005900650729963479,2
17.003870010375977,0.6447048976206061,0.28599095344543457,0.005865833910086571,True,20,0.75,117,16,306,"{'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': 0.75, 'model__min_samples_leaf': 117, 'model__min_samples_split': 16, 'model__n_estimators': 306}",0.22121435575108855,0.20730710103117062,0.21495917050832336,0.21449354243019417,0.0056871516357210345,3
19.031038522720337,0.3340010103767796,0.39687355359395343,0.003736613421173406,True,12,0.5,159,22,528,"{'model__bootstrap': True, 'model__max_depth': 12, 'model__max_features': 0.5, 'model__min_samples_leaf': 159, 'model__min_samples_split': 22, 'model__n_estimators': 528}",0.22152892131546836,0.20740180671814692,0.21352967643767407,0.21415346815709646,0.005784212927925923,4
15.430944283803305,0.37635399138801273,0.31006725629170734,0.02563500601843264,True,8,0.75,79,65,330,"{'model__bootstrap': True, 'model__max_depth': 8, 'model__max_features': 0.75, 'model__min_samples_leaf': 79, 'model__min_samples_split': 65, 'model__n_estimators': 330}",0.22054749508899746,0.20711622137766275,0.21471326664597856,0.21412566103754627,0.005499014374745928,5
24.27657651901245,0.27733363988867626,0.3980192343393962,0.0017722797390349132,True,6,0.75,116,61,654,"{'model__bootstrap': True, 'model__max_depth': 6, 'model__max_features': 0.75, 'model__min_samples_leaf': 116, 'model__min_samples_split': 61, 'model__n_estimators': 654}",0.22209789867101046,0.20642977561825057,0.2137381247478602,0.2140885996790404,0.006401283439391707,6
23.63389277458191,0.42889620710372345,0.39313451449076336,0.005691461485526636,True,6,0.75,186,75,645,"{'model__bootstrap': True, 'model__max_depth': 6, 'model__max_features': 0.75, 'model__min_samples_leaf': 186, 'model__min_samples_split': 75, 'model__n_estimators': 645}",0.221837082761669,0.20692934016574993,0.21328570525950036,0.21401737606230645,0.006108011348456173,7
12.032049576441446,0.034506499953445464,0.29328179359436035,0.0067712417465234645,True,8,0.5,194,93,387,"{'model__bootstrap': True, 'model__max_depth': 8, 'model__max_features': 0.5, 'model__min_samples_leaf': 194, 'model__min_samples_split': 93, 'model__n_estimators': 387}",0.22148689899192986,0.20730717141520255,0.2129353207473973,0.2139097970515099,0.005829715349712365,8
7.343186696370442,0.15761939835598854,0.329873005549113,0.00669242365834508,True,12,sqrt,127,84,414,"{'model__bootstrap': True, 'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 127, 'model__min_samples_split': 84, 'model__n_estimators': 414}",0.21951758276071906,0.2058390920537383,0.212629188760738,0.21266195452506512,0.005584268510839103,9
4.52187180519104,0.07335602618567404,0.24034555753072104,0.013496605715831327,True,10,sqrt,32,48,234,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 32, 'model__min_samples_split': 48, 'model__n_estimators': 234}",0.21900066470866525,0.20678178777229383,0.21187479327857195,0.21255241525317703,0.005011295045654238,10
15.897965828577677,0.8141056522052257,0.5789995193481445,0.03307795890201287,True,16,sqrt,26,89,691,"{'model__bootstrap': True, 'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 26, 'model__min_samples_split': 89, 'model__n_estimators': 691}",0.21798944708255197,0.20687854873032166,0.2119277489603108,0.21226524825772816,0.004542278787878499,11
7.412787040074666,0.06672322336337083,0.3580927054087321,0.0070650482923061515,True,10,log2,119,49,470,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 119, 'model__min_samples_split': 49, 'model__n_estimators': 470}",0.21991291371701546,0.20457021888296584,0.21214324377256066,0.21220879212418065,0.006263800424262858,12
