experiment_id,timestamp_utc,model_name,stage,notes,param__strategy,metric__threshold,metric__roc_auc,metric__pr_auc,metric__brier_score,metric__accuracy,metric__balanced_accuracy,metric__precision,metric__recall,metric__f1,metric__mcc,metric__review_rate,metric__business_cost,metric__true_negative,metric__false_positive,metric__false_negative,metric__true_positive,metric__default_count,metric__non_default_count,param__class_weight,param__solver,param__bootstrap,param__ccp_alpha,param__criterion,param__max_depth,param__max_features,param__max_leaf_nodes,param__max_samples,param__min_impurity_decrease,param__min_samples_leaf,param__min_samples_split,param__min_weight_fraction_leaf,param__n_estimators,param__n_jobs,param__oob_score,param__random_state,param__verbose,param__warm_start,param__objective,param__base_score,param__booster,param__callbacks,param__colsample_bylevel,param__colsample_bynode,param__colsample_bytree,param__device,param__early_stopping_rounds,param__enable_categorical,param__eval_metric,param__feature_types,param__gamma,param__grow_policy,param__importance_type,param__interaction_constraints,param__learning_rate,param__max_bin,param__max_cat_threshold,param__max_cat_to_onehot,param__max_delta_step,param__max_leaves,param__min_child_weight,param__missing,param__monotone_constraints,param__multi_strategy,param__num_parallel_tree,param__reg_alpha,param__reg_lambda,param__sampling_method,param__scale_pos_weight,param__subsample,param__tree_method,param__validate_parameters,param__verbosity
dummy_majority_baseline_42,2026-06-17T13:24:23Z,dummy_majority_baseline,benchmark,Validation metrics used for model selection; test set retained for final confirmation.,most_frequent,0.5,0.5,0.0904131329663244,0.0904131329663244,0.9095868670336756,0.5,0.0,0.0,0.0,0.0,0.0,9115000.0,18340,0,1823,0,1823,18340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression_balanced_42,2026-06-17T13:24:28Z,logistic_regression_balanced,classical_baseline,Validation metrics used for model selection; test set retained for final confirmation.,,0.5,0.7438570286015777,0.2203934836127055,0.2084249988517964,0.6743540147795467,0.6777263561268201,0.1719463272928482,0.6818431157432803,0.2746354396818382,0.2125540046415573,0.3585279968258691,5893000.0,12354,5986,580,1243,1823,18340,balanced,liblinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_base_42,2026-06-17T13:24:38Z,random_forest_base,random_forest_baseline,Validation metrics used for model selection; test set retained for final confirmation.,,0.5,0.7456920567257943,0.2227317498630354,0.1953615903341721,0.6788672320587215,0.6819363446952816,0.1747762863534675,0.6856829402084477,0.2785515320334262,0.2181088908958582,0.3547091206665674,5816000.0,12438,5902,573,1250,1823,18340,balanced_subsample,,1.0,0.0,gini,14.0,sqrt,,,0.0,80.0,2.0,0.0,250.0,-1.0,0.0,42.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_base_42,2026-06-17T13:24:45Z,xgboost_base,xgboost_baseline,Validation metrics used for model selection; test set retained for final confirmation.,,0.5,0.7513259777076027,0.2294422052954254,0.2023855429746056,0.6585329564052969,0.6855792129047773,0.1705285082009893,0.7185957213384531,0.2756443976854287,0.2191747304284895,0.3809948916331895,5751000.0,11968,6372,513,1310,1823,18340,,,,,,4.0,,,,,,,,350.0,1.0,,42.0,,,binary:logistic,,,,,,0.85,,,0.0,aucpr,,0.0,,,,0.05,,,,,,5.0,,,,,0.0,2.0,,10.060420829904784,0.85,hist,,
random_forest_tuned_random_search_42,2026-06-17T13:24:45Z,random_forest_tuned_random_search,random_forest_tuned,Validation metrics used for model selection; test set retained for final confirmation.,,0.5,0.7450643390435194,0.2217467761330661,0.2051151899132293,0.6730149283340773,0.6799543845124487,0.1723901098901099,0.6884256719692814,0.2757332747445897,0.2148875404728985,0.3610573823339781,5852500.0,12315,6025,568,1255,1823,18340,balanced_subsample,,1.0,0.0,gini,8.0,sqrt,,,0.0,50.0,400.0,0.0,200.0,-1.0,0.0,42.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_tuned_hyperopt_42,2026-06-17T13:24:46Z,xgboost_tuned_hyperopt,xgboost_hyperopt_tuned,Validation metrics used for model selection; test set retained for final confirmation.,,0.5,0.7514811798352685,0.22922670763890896,0.20190633708967662,0.6589793185537867,0.6860715885890395,0.17081433224755702,0.7191442676906199,0.27605811749842074,0.21979480532158735,0.380647721073253,5742000.0,11976,6364,512,1311,1823,18340,,,,,,5.0,,,,,,,,450.0,,,,,,,,,,,,0.7383480519232953,,,,,,0.055207425680185745,,,,0.01853256946598634,,,,,,1.2858304322852132,,,,,0.09167840873566974,0.3078349683825589,,,0.7913221845916927,,,
