dataset,id_column_present,row_count,unique_id_count,duplicate_id_count,max_records_per_id
loan_information,True,134417,133752,665,2
employment,True,134417,133752,665,2
personal_information,True,134417,133752,665,2
other_information,True,134417,133752,665,2
