bucket,row_count,default_count,min_value,max_value,median_value,default_rate_pct
"(3999.999, 40000.0]",27038,3110,4000.0,40000.0,33000.0,11.502330053998076
"(40000.0, 55000.0]",29273,3005,40003.2,55000.0,49000.0,10.265432309636866
"(55000.0, 70000.0]",25302,2357,55000.08,70000.0,63000.0,9.315469132874872
"(70000.0, 95000.0]",26696,2096,70001.0,95000.0,80300.0,7.851363500149835
"(95000.0, 7141778.0]",26108,1585,95004.0,7141778.0,120000.0,6.070936111536693
