colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,validation_threshold,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_mcc,validation_review_rate,validation_business_cost,validation_true_negative,validation_false_positive,validation_false_negative,validation_true_positive,validation_default_count,validation_non_default_count
0.6770277729820618,9.571389706796174,0.029924820595537374,4,5.44829060850273,600,0.0009125680721122714,0.7066265736914115,0.8672066758328925,0.5,0.7529441744915778,0.22950071396806282,0.2033309922057483,0.6581857858453604,0.6893405390110972,0.17173941199326512,0.7273724629731212,0.27787091366303435,0.22340080311630414,0.38292912760997866,5682500.0,11945,6395,497,1326,1823,18340
0.6601849321179576,0.5567143053308093,0.01002188231531328,4,13.480620224055798,600,0.00010422997327201456,0.540062656199464,0.8706519140233979,0.5,0.7499175535430891,0.22948191458992773,0.2064902695456675,0.6562019540742945,0.6805927052308112,0.1682036628133524,0.7103675260559518,0.27200168031926064,0.21319514935642525,0.38183802013589246,5842000.0,11936,6404,528,1295,1823,18340
0.7827505904767031,1.6974617794565594,0.028663950254861632,4,48.72670446825985,475,0.000186375736310017,5.956215457874368,0.9031544412860262,0.5,0.7524477161149997,0.22858237336331155,0.20434905210892,0.6538213559490155,0.6839772870703976,0.16878612716763006,0.7207899067471202,0.27352206494587844,0.2167368007636625,0.386103258443684,5780500.0,11869,6471,509,1314,1823,18340
0.7548110236936391,0.00024552909007417514,0.020189865282841786,3,1.7745216561686414,675,0.005667825442138874,0.17266126808387647,0.7637321609770884,0.5,0.750223576007767,0.2280565339295511,0.20655036686658734,0.651936715766503,0.6831883105191091,0.16805111821086263,0.7213384530992869,0.2725953565505804,0.2156036937285392,0.3880870902147498,5795000.0,11830,6510,508,1315,1823,18340
0.679516815218044,8.547316114457859,0.030407451143651263,4,5.068821549008768,600,0.0007170053689927084,0.735174511414695,0.8554658805880734,0.5,0.752497770221889,0.2279525644664096,0.20267065300013234,0.6583345732281902,0.6884342860014201,0.1714656290531777,0.7251782775644542,0.27735235497744676,0.22239178414405752,0.3823835738729356,5699000.0,11952,6388,501,1322,1823,18340
0.8874113766317997,0.6424885390771984,0.04504125819847369,4,3.754336359539089,350,0.0027338935430178844,0.166871522596185,0.8260163141315187,0.5,0.7516548064205646,0.22786399813171507,0.20248707550316117,0.6586321479938502,0.685633738531822,0.17057291666666666,0.7185957213384531,0.2757024097653373,0.219250105759746,0.3808957000446362,5750000.0,11970,6370,513,1310,1823,18340
0.7383480519232953,0.08272904523752028,0.01853256946598634,5,1.3353096677237322,525,0.09167840873566974,0.3078349683825589,0.7913221845916927,0.5,0.7518174560968505,0.2275221827906952,0.20048849485117534,0.6620542577989387,0.6865268312146204,0.17177429961857163,0.7164015359297861,0.27710587736049225,0.22073794396502605,0.37707682388533453,5733500.0,12043,6297,517,1306,1823,18340
0.8194647170434719,0.004168647555220428,0.08530274739313425,3,20.16345672267719,500,2.628046996866244,2.672467389833889,0.9347793926741007,0.5,0.753110144159417,0.22738269566432256,0.20236990309523456,0.65892972275951,0.6890084501262494,0.17181818181818181,0.7257268239166209,0.2778536175574924,0.22312465218396574,0.3818876159301691,5688500.0,11963,6377,500,1323,1823,18340
0.7053748657016071,4.594703257931635,0.06318442685528433,3,28.605672013314205,325,0.0010505609651867433,18.741871355689288,0.9563366632022017,0.5,0.7509118461486004,0.22730739285955284,0.20582246127065326,0.6556068045429747,0.6844647276320803,0.16939961265332473,0.7196928140427866,0.274247491638796,0.21752029912287513,0.38411942667261817,5771500.0,11907,6433,511,1312,1823,18340
0.6586474460545239,0.9554013623440362,0.012425516703633697,4,13.329256061386836,450,0.00010241625138562737,0.45138053176160686,0.9873160562245308,0.5,0.7483707066676797,0.227259857515973,0.20720680136148867,0.6559539751029113,0.6811974222508825,0.16835278858625163,0.712013165112452,0.27231721388859753,0.21385077456856347,0.3823835738729356,5831000.0,11928,6412,525,1298,1823,18340
0.724730162093812,0.004223597922263174,0.010275744650255617,4,3.3684103786226154,400,1.2161126921108312,7.468449995824496,0.9587936617411212,0.5,0.7473138426898274,0.2271814450382872,0.20795778419820982,0.656549124634231,0.6805365345629066,0.16827048114434331,0.7098189797037849,0.2720487753600337,0.21317656816492062,0.38139165798740265,5843000.0,11944,6396,529,1294,1823,18340
0.6510975946769672,0.16623212571088924,0.028357934660564205,2,49.70278376028011,450,0.008458993137294262,0.632319282119696,0.8599521649620846,0.5,0.7450994830982521,0.22587010831374993,0.2091562516094983,0.6553092297773149,0.6783729020494815,0.16720758146176815,0.7065277015907844,0.27041780390510184,0.2105537126854516,0.38203640331299904,5882500.0,11925,6415,535,1288,1823,18340
0.7568091898838728,0.26279519500846255,0.055568865381560424,3,19.458099008965963,625,0.000278137303764092,1.188291149355738,0.6735980233279383,0.5,0.7504535377650535,0.2256329021766863,0.20341650759071658,0.6576402321083172,0.6848414718988138,0.17004416731618602,0.7180471749862863,0.27497111647936145,0.21821636595674485,0.3817884243416158,5764500.0,11951,6389,514,1309,1823,18340
0.8049028357666251,0.01153567736255139,0.05875212634726511,3,1.5392167289267824,675,0.0001217540593455589,12.137120440834574,0.7313612231143589,0.5,0.7515067676980972,0.22524166997940442,0.20345784780328965,0.6556564003372514,0.6852330215332858,0.1696774193548387,0.7213384530992869,0.27473101431108327,0.21839977053506587,0.3843674056440014,5757500.0,11905,6435,508,1315,1823,18340
0.7696554230103274,0.00010652220955177544,0.14166350766434327,2,9.085932232134498,175,2.0167515972245704,2.5095714615714084,0.7551474741766779,0.5,0.7486522329784631,0.22506363996032303,0.20748599409409996,0.6616078956504489,0.6855404348052361,0.1713121220089403,0.7147558968732858,0.27638137660409373,0.2195535471308788,0.37722561126816445,5751500.0,12037,6303,520,1303,1823,18340
0.8265571605269911,0.0002723759451101708,0.020859421035388227,6,12.853940242974502,525,0.014962004059969898,1.275781968968099,0.763761337457416,0.5,0.7499924627218786,0.22422432276400395,0.19520470496329043,0.6737092694539503,0.6855232815155432,0.1746031746031746,0.6999451453647834,0.27948746030007665,0.22135335215463317,0.36244606457372414,5751000.0,12308,6032,547,1276,1823,18340
0.9500606386890063,1.7790938698472203,0.03984184633653365,5,34.68850755228873,550,0.016207535881927408,0.23470443921693762,0.9141545760926761,0.5,0.7514041021935275,0.22384866988561872,0.19626967585887067,0.6690968605862223,0.6864459849338185,0.17364382824067842,0.7076247942951179,0.27885862516212706,0.22168097816517973,0.36844715568119824,5734500.0,12201,6139,533,1290,1823,18340
0.8643068013348881,0.0009685400955051883,0.047611433295975385,6,23.664582510897013,275,0.11105055808578174,4.784571163435085,0.7491063283105367,0.5,0.7498783716607914,0.223013102271925,0.19487852743679304,0.6735604820711204,0.6866765448877813,0.17497609616172655,0.7026878771256171,0.2801837270341207,0.22264411159522324,0.3630908098993205,5730000.0,12300,6040,542,1281,1823,18340
0.8010567804796307,0.00046353080463659566,0.015926574075706728,8,7.244976621570366,625,0.00025629179912133206,19.68328021735318,0.894677508159528,0.5,0.7488941586692754,0.2204332400501306,0.18599826188698473,0.693745970341715,0.6839399296879627,0.1800940899735372,0.6719692814042787,0.2840579710144928,0.22313167006719759,0.3373505926697416,5778500.0,12763,5577,598,1225,1823,18340
0.7189810968271309,0.0021644506663371834,0.10433936720360087,5,2.7697866615357176,275,7.5857668193795105,4.372570618881454,0.8065632582454436,0.5,0.7455192676158453,0.21770484113393052,0.19402494073028545,0.6742548231909934,0.6776718304997753,0.1718987691882174,0.6818431157432803,0.27457477358073773,0.21247583454218907,0.3586271884144225,5894000.0,12352,5988,580,1243,1823,18340
0.9947420231860991,3.92084414995693,0.07761453523139321,6,3.920946555861931,375,0.0004369024495372965,9.026963316402778,0.7358247421083032,0.5,0.7403076286227539,0.21453662698727735,0.1826611892307641,0.6999950404205724,0.672307412075557,0.1776014647543485,0.6385079539221065,0.27790378417094425,0.21098939645256254,0.32505083568913357,5990000.0,12950,5390,659,1164,1823,18340
0.7210975282812794,3.957041795185476,0.06386269143275092,8,2.7193647928003126,325,0.00033431286179300064,2.5082849919843744,0.923380741782362,0.5,0.7397077270859267,0.21310494609494965,0.1754368101333857,0.7155185240291623,0.6719482996558575,0.18284973253363593,0.6187602852441031,0.2822822822822823,0.21401418583636153,0.30595645489262513,5995500.0,13299,5041,695,1128,1823,18340
0.9694910330137703,0.0046765516565584215,0.08867395059676818,6,1.727958335973732,325,0.5497672496639827,8.12944960492289,0.6725004021583423,0.5,0.7389171204486953,0.20972794909284143,0.18343203124155485,0.6966225264097604,0.6707005511185979,0.1758756038647343,0.6390565002742732,0.2758375754705813,0.20845123039491703,0.3285225412884987,6019500.0,12881,5459,658,1165,1823,18340
0.8281195375993909,0.005377011928497396,0.13056427113017388,5,41.30319014049806,675,0.0021959566804504228,0.12443464695110569,0.662146202549887,0.5,0.7315221832264456,0.20311738399463913,0.18490745793435537,0.6953826315528443,0.6665608357046846,0.1738408095453859,0.6313768513439386,0.27261961155850306,0.20341954950965407,0.3283737539056688,6095000.0,12870,5470,672,1151,1823,18340
