"experiment_id","timestamp_utc","model_name","model_family","stage","notes","param_class_weight","param_skewness_treatment","param_scaler","metric_validation_model_name","metric_validation_dataset","metric_validation_threshold","metric_validation_roc_auc","metric_validation_pr_auc","metric_validation_brier_score","metric_validation_accuracy","metric_validation_balanced_accuracy","metric_validation_precision","metric_validation_recall","metric_validation_specificity","metric_validation_f1","metric_validation_mcc","metric_validation_review_rate","metric_validation_business_cost","metric_validation_true_negative","metric_validation_false_positive","metric_validation_false_negative","metric_validation_true_positive","metric_validation_default_count","metric_validation_non_default_count","param_scale_pos_weight","param_model__bootstrap","param_model__max_depth","param_model__max_features","param_model__min_samples_leaf","param_model__min_samples_split","param_model__n_estimators","param_colsample_bytree","param_gamma","param_learning_rate","param_max_depth","param_min_child_weight","param_n_estimators","param_reg_alpha","param_reg_lambda","param_subsample","param_sampler","param_sampling_strategy"
"tuned_xgboost_hyperopt_tuned","2026-06-17T19:06:19.656992+00:00","xgboost_hyperopt_tuned","xgboost","tuned","","","","","xgboost_hyperopt_tuned","validation","0.5","0.7520522034275474","0.2302672234533928","0.2051570226421364","0.6561027624857412","0.6844903454047429","0.1695331695331695","0.7191442676906199","0.6498364231188659","0.2743825868564252","0.2176141194226716","0.3835242771412984","5771000.0","11918","6422","512","1311","1823","18340","","","","","","","","0.6393612611728163","1.1615599620042647","0.0359121763224633","4.0","2.404012069177416","250.0","0.3060528925486039","1.2991733711962796","0.8560641147187875","",""
"tuned_skew_treatment_variant_xgboost_hyperopt_tuned_skew_treated","2026-06-17T19:11:40.391599+00:00","xgboost_hyperopt_tuned_skew_treated","xgboost","tuned_skew_treatment_variant","","","yeo_johnson_train_only","","xgboost_hyperopt_tuned_skew_treated","validation","0.5","0.7521310607044004","0.2305349387114432","0.2051701409281741","0.6545156970688886","0.6838649457345884","0.1689197888502639","0.7196928140427866","0.6480370774263904","0.2736183524504692","0.2166977975009283","0.3852105341467043","5782500.0","11885","6455","511","1312","1823","18340","","","","","","","","0.6393612611728163","1.1615599620042647","0.0359121763224633","4.0","2.404012069177416","250.0","0.3060528925486039","1.2991733711962796","0.8560641147187875","",""
"sampling_challenger_random_forest_under_sampled_challenger","2026-06-17T19:11:49.527123+00:00","random_forest_under_sampled_challenger","random_forest","sampling_challenger","","","","","random_forest_under_sampled_challenger","validation","0.5","0.7481686358304255","0.2240843863272734","0.2067837527066179","0.6499528839954372","0.684073880878703","0.1678720974495622","0.7257268239166209","0.6424209378407851","0.2726710634789778","0.2163664672513755","0.3908644546942419","5779000.0","11782","6558","500","1323","1823","18340","","True","10.0","0.7","26.0","393.0","543.0","","","","","","","","","","RandomUnderSampler","0.5"
"sampling_challenger_random_forest_over_sampled_challenger","2026-06-17T19:12:40.743425+00:00","random_forest_over_sampled_challenger","random_forest","sampling_challenger","","","","","random_forest_over_sampled_challenger","validation","0.5","0.7493891514639967","0.2221859899620118","0.2006840714719427","0.663542131627238","0.6880857467079742","0.1727140783744557","0.7180471749862863","0.6581243184296619","0.2784513933205701","0.2227222333899101","0.375886524822695","5705000.0","12070","6270","514","1309","1823","18340","","True","10.0","0.7","26.0","393.0","543.0","","","","","","","","","","RandomOverSampler","0.5"
"sampling_challenger_xgboost_under_sampled_challenger","2026-06-17T19:12:42.722969+00:00","xgboost_under_sampled_challenger","xgboost","sampling_challenger","","","","","xgboost_under_sampled_challenger","validation","0.5","0.7494655112697262","0.2287783888296187","0.4930743322005674","0.2561126816445965","0.5782405211250166","0.1059337241296805","0.9714755896873286","0.1850054525627044","0.1910360821962138","0.1192251716921094","0.8291424887169568","7733500.0","3393","14947","52","1771","1823","18340","","","","","","","","0.6393612611728163","1.1615599620042647","0.0359121763224633","4.0","2.404012069177416","250.0","0.3060528925486039","1.2991733711962796","0.8560641147187875","RandomUnderSampler","0.5"
"sampling_challenger_xgboost_over_sampled_challenger","2026-06-17T19:12:48.655783+00:00","xgboost_over_sampled_challenger","xgboost","sampling_challenger","","","","","xgboost_over_sampled_challenger","validation","0.5","0.7495269460683823","0.2263990500171926","0.4895811980628843","0.2601299409810048","0.5814368504705714","0.106638630219285","0.9736697750959956","0.1892039258451472","0.1922243881308208","0.1230705517262064","0.8255219957347617","7675000.0","3470","14870","48","1775","1823","18340","","","","","","","","0.6393612611728163","1.1615599620042647","0.0359121763224633","4.0","2.404012069177416","250.0","0.3060528925486039","1.2991733711962796","0.8560641147187875","RandomOverSampler","0.5"
"baseline_logistic_regression_train_only_baseline","2026-06-17T21:09:26.403093+00:00","logistic_regression_train_only_baseline","logistic_regression","baseline","","balanced","yeo_johnson","standard","logistic_regression_train_only_baseline","validation","0.5","0.7435836527205087","0.2209937822460576","0.2084481124321064","0.6748499727223132","0.6794810464374097","0.1727285299405338","0.6851343938562808","0.6738276990185387","0.2759001546277888","0.2146394564575741","0.3586271884144225","5861000.0","12358","5982","574","1249","1823","18340","","","","","","","","","","","","","","","","","",""
"baseline_random_forest_weighted_baseline","2026-06-17T21:09:36.584808+00:00","random_forest_weighted_baseline","random_forest","baseline","","balanced_subsample","winsorize_only","","random_forest_weighted_baseline","validation","0.5","0.7458023342830703","0.2238217418288384","0.1946383960405726","0.6808014680355106","0.6825055736975314","0.1755521170347447","0.6845858475041141","0.6804252998909488","0.2794446932377967","0.2190902579362614","0.3525765015126717","5805500.0","12479","5861","575","1248","1823","18340","","","","","","","","","","","","","","","","","",""
"baseline_xgboost_weighted_baseline","2026-06-17T21:09:42.404860+00:00","xgboost_weighted_baseline","xgboost","baseline","","","winsorize_only","","xgboost_weighted_baseline","validation","0.5","0.7511864483328559","0.2262509633206936","0.2020257960762295","0.6603680007935328","0.6853528851922993","0.1709233791748526","0.7158529895776193","0.6548527808069793","0.2759568619158384","0.2191679034581507","0.3786638893021872","5755000.0","12010","6330","518","1305","1823","18340","10.060420829904784","","","","","","","","","","","","","","","","",""
"tuned_random_forest_random_search_tuned","2026-06-17T21:27:12.492758+00:00","random_forest_random_search_tuned","random_forest","tuned","","","","","random_forest_random_search_tuned","validation","0.5","0.7507740964089655","0.2247275711776923","0.1974000199323963","0.6719734166542677","0.6877802177555541","0.1749219704166101","0.7070762479429512","0.6684841875681571","0.2804612706701479","0.2236481873236653","0.3654714080245995","5710000.0","12260","6080","534","1289","1823","18340","","True","10.0","0.7","26.0","393.0","543.0","","","","","","","","","","",""
"tuned_xgboost_hyperopt_tuned","2026-06-17T21:31:52.319078+00:00","xgboost_hyperopt_tuned","xgboost","tuned","","","","","xgboost_hyperopt_tuned","validation","0.5","0.7520522034275474","0.2302672234533928","0.2051570226421364","0.6561027624857412","0.6844903454047429","0.1695331695331695","0.7191442676906199","0.6498364231188659","0.2743825868564252","0.2176141194226716","0.3835242771412984","5771000.0","11918","6422","512","1311","1823","18340","","","","","","","","0.6393612611728163","1.1615599620042647","0.0359121763224633","4.0","2.404012069177416","250.0","0.3060528925486039","1.2991733711962796","0.8560641147187875","",""
"tuned_skew_treatment_variant_xgboost_hyperopt_tuned_skew_treated","2026-06-17T21:37:31.212206+00:00","xgboost_hyperopt_tuned_skew_treated","xgboost","tuned_skew_treatment_variant","","","yeo_johnson_train_only","","xgboost_hyperopt_tuned_skew_treated","validation","0.5","0.7521310607044004","0.2305349387114432","0.2051701409281741","0.6545156970688886","0.6838649457345884","0.16891978885026393","0.7196928140427866","0.6480370774263904","0.2736183524504692","0.21669779750092838","0.38521053414670436","5782500.0","11885","6455","511","1312","1823","18340","","","","","","","","0.6393612611728163","1.1615599620042647","0.03591217632246335","4.0","2.404012069177416","250.0","0.3060528925486039","1.2991733711962796","0.8560641147187875","",""
