metric,value
raw_row_count,134417
cleaned_row_count,134417
rows_removed,0
raw_column_count,25
cleaned_column_count,46
columns_added_or_removed_net,21
raw_missing_values,310436
cleaned_missing_values,138190
target_present,True
record_sequence_present,True
record_key_duplicate_count,0
