,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
amount,106779.0,137653.6574420064,157599.9759293776,5.0,3570.34,8816.0,28520.5,76549.0,205482.5,422275.2999999998,659305.3800000004,8000078.0
interest_rate,134417.0,12.024809957073881,3.879282877204204,5.42,5.45,5.98,9.17,11.84,14.28,18.96,22.13,23.54
tenure_years,134417.0,4.523058839283721,0.8789384941508249,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0
total_income_pa,134417.0,72597.97502161184,56100.051280489344,4000.0,18312.32,27000.0,45000.0,62000.0,87000.0,150000.0,250000.0,7141778.0
delinq_2yrs,134417.0,0.2831040716576028,0.799211561958363,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,22.0
number_of_loans,134417.0,0.005646607199982145,0.0990489467607619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
loan_to_income_ratio,106779.0,1.8033308134064185,1.5622777277167397,5.555555555555556e-05,0.07283314888010539,0.18664960330578514,0.5232772558199192,1.2359375,2.841253657854935,4.764435755971032,6.336767003658132,19.6375
payment_to_amount_ratio,106779.0,0.3691666754257846,20.082632990606296,0.0,0.006146451200163724,0.013289951320007836,0.03812293562210892,0.09708823132009188,0.25682597700428367,0.8910525225123731,1.8759533707798426,6251.68
principal_to_amount_ratio,106779.0,0.2749599936952883,10.236618303293925,0.0,0.0037453791238869234,0.008509599668066449,0.025820571821621112,0.06926536241878697,0.18826216778649701,0.720912679830647,1.5610702122177567,2819.172
