tier_of_employment,row_count,default_count,median_income,median_interest_rate,default_rate_pct,portfolio_share_pct,exposure,amount_missing_rate_pct,median_amount,exposure_share_pct,median_loan_to_income_ratio
G,256,75,78000.0,22.48,29.296875,0.19045210055275746,29419971.0,29.6875,95651.5,0.20015601042944955,1.4737572509457753
F,1252,305,70000.0,21.16,24.361022364217252,0.9314298042658294,135447896.0,22.923322683706072,81746.0,0.9215070431042574,1.2552307692307692
E,3712,669,65000.0,18.51,18.02262931034483,2.7615554580149833,392339239.0,21.417025862068968,75731.0,2.6692431754323045,1.2606
D,8163,1163,60000.0,16.05,14.24721303442362,6.072892565672497,767992228.0,21.86696067622198,61603.5,5.224963015677487,1.0841582857142857
C,13932,1443,60000.0,12.94,10.357450473729543,10.364760409769598,1363151468.0,20.61441286247488,62882.0,9.274073024950551,1.0696496296296298
Unknown,79686,6683,62000.0,11.84,8.386667670607133,59.28268001815247,9123403382.0,17.163617197500187,76655.0,62.07021830441871,1.2415602836879434
B,16890,1386,60000.0,10.54,8.206039076376555,12.565374915375289,1657254660.0,28.312611012433393,76041.5,11.274976478094214,1.2082385964912281
A,10526,429,70000.0,6.88,4.07562226866806,7.830854728196582,1229511044.0,31.95895876876306,130278.5,8.36486294789303,1.7464508064516129
