segment_column,segment_value,row_count,default_count,default_rate,default_rate_pct,portfolio_share_pct,exposure,median_amount,exposure_share_pct,median_income,median_interest_rate,median_loan_to_income_ratio
loan_category,Business,2236,434,0.19409660107334525,19.409660107334524,1.6634800657654911,173506382.0,62201.0,1.18043437925782,70000.0,13.23,0.8909733333333334
loan_category,Other,8225,935,0.11367781155015197,11.367781155015196,6.119017683775118,650587568.0,46868.0,4.426211434602646,57900.0,12.64,0.8603958333333334
loan_category,Medical,1379,150,0.10877447425670776,10.877447425670777,1.025911901024424,130687686.0,58750.0,0.8891214013099005,60000.0,12.35,1.0406486486486486
loan_category,Consolidation,80868,7637,0.09443784933471831,9.44378493347183,60.1620330761734,9009189646.0,78084.0,61.293175875178974,62000.0,12.06,1.250785
loan_category,Home,8503,735,0.08644007997177466,8.644007997177466,6.325836761719128,1104943930.0,128046.0,7.517382283518804,70000.0,11.73,1.7769521052631578
loan_category,Car,1538,115,0.07477243172951886,7.477243172951886,1.1442005103521133,100351576.0,44520.0,0.6827325252111126,52000.0,10.83,0.873633658008658
loan_category,Credit Card,31668,2147,0.06779714538335228,6.779714538335228,23.559520001190325,3529253100.0,75065.0,24.01094210092074,60000.0,10.95,1.2371101190476188
employment_type,Self-Employed,9914,1451,0.14635868468831956,14.635868468831955,7.3755551753126465,661358688.0,68749.0,4.4994917382119475,60000.0,12.35,1.121225
employment_type,Salaried,44817,4019,0.08967579266796082,8.967579266796081,33.34176480653489,4913757818.0,77357.0,33.43028995736935,62000.0,11.84,1.2427
employment_type,Unknown,79686,6683,0.08386667670607133,8.386667670607133,59.28268001815247,9123403382.0,76655.0,62.07021830441871,62000.0,11.84,1.2415602836879434
tier_of_employment,G,256,75,0.29296875,29.296875,0.19045210055275746,29419971.0,95651.5,0.20015601042944955,78000.0,22.48,1.4737572509457753
tier_of_employment,F,1252,305,0.24361022364217252,24.361022364217252,0.9314298042658294,135447896.0,81746.0,0.9215070431042574,70000.0,21.16,1.2552307692307692
tier_of_employment,E,3712,669,0.1802262931034483,18.02262931034483,2.7615554580149833,392339239.0,75731.0,2.6692431754323045,65000.0,18.51,1.2606
tier_of_employment,D,8163,1163,0.1424721303442362,14.24721303442362,6.072892565672497,767992228.0,61603.5,5.224963015677487,60000.0,16.05,1.0841582857142857
tier_of_employment,C,13932,1443,0.10357450473729543,10.357450473729543,10.364760409769598,1363151468.0,62882.0,9.274073024950551,60000.0,12.94,1.0696496296296298
tier_of_employment,Unknown,79686,6683,0.08386667670607133,8.386667670607133,59.28268001815247,9123403382.0,76655.0,62.07021830441871,62000.0,11.84,1.2415602836879434
tier_of_employment,B,16890,1386,0.08206039076376555,8.206039076376555,12.565374915375289,1657254660.0,76041.5,11.274976478094214,60000.0,10.54,1.2082385964912281
