bucket,row_count,default_count,min_value,max_value,median_value,default_rate_pct
"(5.419, 8.04]",27245,951,5.42,8.04,6.95,3.490548724536612
"(8.04, 10.95]",28183,1659,8.28,10.95,10.06,5.886527339176099
"(10.95, 12.73]",25588,2045,11.19,12.73,11.84,7.992027512896669
"(12.73, 15.35]",27155,2829,12.89,15.35,13.83,10.417970907751794
"(15.35, 23.54]",26246,4669,15.48,23.54,17.21,17.789377428941552
