bucket,row_count,default_count,min_value,max_value,median_value,default_rate_pct
"(4.999, 23460.6]",21356,1742,5.0,23460.0,13912.5,8.15695823187863
"(23460.6, 48617.4]",21356,1740,23461.0,48617.0,33985.5,8.147593182243867
"(48617.4, 126420.8]",21355,1587,48619.0,126408.0,76549.0,7.43151486771248
"(126420.8, 237866.2]",21356,1513,126424.0,237863.0,177896.5,7.084660048698257
"(237866.2, 8000078.0]",21356,1114,237871.0,8000078.0,333674.0,5.216332646563027
