model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,validation_pr_auc,loss,elapsed_seconds
random_forest_random_search_tuned,327.0361185868581,2.899804894100491,13.52892271677653,1.0051272311994823,True,10,0.7,26,393,543,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 0.7, 'model__min_samples_leaf': 26, 'model__min_samples_split': 393, 'model__n_estimators': 543}",0.22225965369763578,0.20969094739005936,0.21445725152251904,0.21546928420340472,0.005180814104103288,1.0,0.2521140878598555,0.2538458748487453,0.25550750083002893,0.2538224878462099,0.0013854537428705444,,,,,,,,,,,,
random_forest_random_search_tuned,311.95390184720355,1.898565535391528,9.89775808652242,4.5395347000259365,True,,0.7,89,394,576,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 89, 'model__min_samples_split': 394, 'model__n_estimators': 576}",0.22221284005308053,0.20888289899307658,0.21443729700541558,0.2151776786838576,0.005467050145378479,2.0,0.24870432837247491,0.2510985413352912,0.2503902998168036,0.25006438984152324,0.0010042333433420121,,,,,,,,,,,,
random_forest_random_search_tuned,276.8222831090291,0.48619419227415483,17.690687656402588,0.3342949770813602,True,8,0.5,45,210,563,"{'model__bootstrap': True, 'model__max_depth': 8, 'model__max_features': 0.5, 'model__min_samples_leaf': 45, 'model__min_samples_split': 210, 'model__n_estimators': 563}",0.2215976044643413,0.20744940120111743,0.2150033695492927,0.21468345840491712,0.005780407785476518,3.0,0.24903651720378056,0.25127557131392103,0.2520595327277584,0.2507905404151533,0.0012809103388143619,,,,,,,,,,,,
random_forest_random_search_tuned,241.7707367738088,5.818073300835514,1.2100683053334553,0.2744777099215838,True,,0.7,123,221,609,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 123, 'model__min_samples_split': 221, 'model__n_estimators': 609}",0.22150023921939835,0.2075562026567993,0.21470334764681948,0.2145865965076724,0.005693227674828158,4.0,0.25364475067271663,0.2566005038617838,0.25504306422647566,0.2550961062536587,0.001207263937216694,,,,,,,,,,,,
random_forest_random_search_tuned,301.96059505144757,1.12121281155023,13.19943348566691,0.08429184833786443,True,14,0.7,127,171,464,"{'model__bootstrap': True, 'model__max_depth': 14, 'model__max_features': 0.7, 'model__min_samples_leaf': 127, 'model__min_samples_split': 171, 'model__n_estimators': 464}",0.2217871606965387,0.20744325419619647,0.21444277861765182,0.214557731170129,0.00585643941826037,5.0,0.25195002658337107,0.25520683912279035,0.2530809180295172,0.2534125945785595,0.0013501145578846624,,,,,,,,,,,,
random_forest_random_search_tuned,186.66872429847717,3.4246342059328643,22.56145215034485,0.6014440995509557,True,,0.5,117,320,356,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 117, 'model__min_samples_split': 320, 'model__n_estimators': 356}",0.22100446875179833,0.20804666770872365,0.21419667669357875,0.21441593771803358,0.005292271630444436,6.0,0.24781249997060056,0.25016699338179677,0.24939146010246568,0.24912365115162102,0.0009796941806693138,,,,,,,,,,,,
random_forest_random_search_tuned,189.07185570398966,33.12551905190763,14.647555907567343,4.211505379888845,True,16,0.7,113,98,308,"{'model__bootstrap': True, 'model__max_depth': 16, 'model__max_features': 0.7, 'model__min_samples_leaf': 113, 'model__min_samples_split': 98, 'model__n_estimators': 308}",0.22100581743008102,0.20702569804429774,0.2151893129238669,0.21440694279941522,0.005734109158879245,7.0,0.2570022396682257,0.2603169013703534,0.2584737620978172,0.2585976343787988,0.0013560368250615925,,,,,,,,,,,,
random_forest_random_search_tuned,260.11171770095825,0.5001664160455098,19.83632485071818,0.5159333251118915,True,10,0.35,112,149,609,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 0.35, 'model__min_samples_leaf': 112, 'model__min_samples_split': 149, 'model__n_estimators': 609}",0.2213146970904476,0.2072737772532165,0.21425857650133134,0.21428235028166517,0.005732206170016392,8.0,0.24644210059747465,0.2488225729575825,0.24841957393538244,0.24789474916347987,0.0010402701396628694,,,,,,,,,,,,
random_forest_random_search_tuned,141.46653493245444,0.6857579096555586,12.03053077061971,0.5836935798505534,True,16,0.35,132,104,493,"{'model__bootstrap': True, 'model__max_depth': 16, 'model__max_features': 0.35, 'model__min_samples_leaf': 132, 'model__min_samples_split': 104, 'model__n_estimators': 493}",0.22139352513278487,0.20737631195266606,0.2137446962511455,0.21417151111219881,0.005730456324379766,9.0,0.2445835722282919,0.2473990097214795,0.24712885344489585,0.2463704784648891,0.0012683378958928324,,,,,,,,,,,,
random_forest_random_search_tuned,91.90716274579366,0.9820850306838081,15.278845071792603,0.46878114660978026,True,8,0.5,116,313,284,"{'model__bootstrap': True, 'model__max_depth': 8, 'model__max_features': 0.5, 'model__min_samples_leaf': 116, 'model__min_samples_split': 313, 'model__n_estimators': 284}",0.22157127898859905,0.20692640621289315,0.21399931058305896,0.21416566526151706,0.005979901340514828,10.0,0.239033665868003,0.24208204945229822,0.240593906158646,0.24056987382631576,0.0012446134028947981,,,,,,,,,,,,
